ExcludedCountry
aland-islands
antarctica
western-sahara
bonaire
bouvet-island
cocos-islands
ivory-coast
christmas-island
south-georgia-and-the-south-sandwich-islands
heard-island-and-mcdonald-islands
british-indian-ocean-territory
saint-martin-french
norfolk-island
niue
pitcairn
palestine
runion
svalbard-and-jan-mayen
saint-martin-dutch
french-southern-territories
tokelau
united-states-minor-outlying-islands
us-virgin-islands
